Rk,Player,Tm,FantPos,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,-9999
1,Christian McCaffrey*+,SFO,RB,,324,391.3,399.3,357.8,157.0,1,1.0,McCaCh01
2,CeeDee Lamb*+,DAL,WR,,268,403.2,411.2,335.7,131.0,1,2.0,LambCe00
3,Josh Allen,BUF,QB,3.0,393,392.6,420.6,410.6,122.0,1,3.0,AlleJo02
4,Tyreek Hill*+,MIA,WR,,257,376.4,380.4,316.9,120.0,2,4.0,HillTy00
5,Jalen Hurts*,PHI,QB,,357,356.8,382.8,371.8,89.0,2,5.0,HurtJa00
6,Raheem Mostert*,MIA,RB,,243,267.7,274.7,255.2,80.0,2,6.0,MostRa00
7,Amon-Ra St. Brown*+,DET,WR,,212,330.9,334.9,271.4,78.0,3,7.0,StxxAm00
8,Dak Prescott*,DAL,QB,2.0,343,342.8,359.8,351.8,76.0,3,8.0,PresDa01
9,Mike Evans*,TAM,WR,,204,282.5,285.5,243.0,70.0,4,9.0,EvanMi00
10,Lamar Jackson*+,BAL,QB,1.0,331,331.2,350.2,338.2,65.0,4,10.0,JackLa00
11,Sam LaPorta*,DET,TE,,153,239.3,242.3,196.3,65.0,1,11.0,LaPoSa01
12,Travis Etienne,JAX,RB,,224,282.4,288.4,253.4,62.0,3,12.0,EtieTr00
13,Kyren Williams*,LAR,RB,,223,255.0,263.0,239.0,61.0,4,13.0,WillKy02
14,Puka Nacua*,LAR,WR,,194,298.5,301.5,246.0,60.0,5,14.0,NacuPu00
15,D.J. Moore,CHI,WR,,191,286.5,290.5,238.5,58.0,6,15.0,MoorD.00
16,Derrick Henry*,TEN,RB,,219,246.7,252.7,232.7,57.0,5,16.0,HenrDe00
17,Joe Mixon,CIN,RB,,215,267.0,273.0,241.0,54.0,6,17.0,MixoJo00
18,Jordan Love,GNB,QB,2.0,319,319.1,339.1,330.1,53.0,5,18.0,LoveJo03
19,Breece Hall,NYJ,RB,,215,290.5,296.5,252.5,53.0,7,19.0,HallBr03
20,A.J. Brown*,PHI,WR,,184,289.6,294.6,236.6,51.0,8,20.0,BrowAJ00
21,Deebo Samuel,SFO,WR,,184,243.7,249.7,213.7,51.0,7,21.0,SamuDe00
22,George Kittle*+,SFO,TE,,138,203.2,206.2,170.7,51.0,2,22.0,KittGe00
23,Nico Collins,HOU,WR,,180,260.4,263.4,220.4,48.0,9,23.0,CollNi00
24,Rachaad White,TAM,RB,,204,267.9,275.9,235.9,43.0,8,24.0,WhitRa01
25,Brandon Aiyuk,SFO,WR,,174,249.2,253.2,211.7,42.0,10,25.0,AiyuBr00
26,Travis Kelce*,KAN,TE,,126,219.4,223.4,172.9,40.0,3,26.0,KelcTr00
27,Keenan Allen*,LAC,WR,,171,278.9,282.9,224.9,39.0,11,27.0,AlleKe00
28,T.J. Hockenson,MIN,TE,,124,219.0,223.0,171.5,37.0,4,28.0,HockTJ00
29,Stefon Diggs*,BUF,WR,,167,273.8,277.8,220.3,35.0,12,29.0,DiggSt00
30,David Njoku*,CLE,TE,,120,201.2,206.2,160.7,34.0,5,30.0,NjokDa00
31,Brock Purdy*,SFO,QB,,296,295.6,314.6,306.6,31.0,6,31.0,PurdBr00
32,David Montgomery,DET,RB,,191,207.2,214.2,199.2,31.0,9,32.0,MontDa01
33,Ja'Marr Chase*,CIN,WR,,163,262.7,265.7,212.7,31.0,13,33.0,ChasJa00
34,Davante Adams,LVR,WR,,162,265.4,268.4,213.9,31.0,14,34.0,AdamDa01
35,Jahmyr Gibbs*,DET,RB,,190,242.1,249.1,216.1,30.0,10,35.0,GibbJa01
36,Evan Engram*,JAX,TE,,116,230.3,235.3,173.3,30.0,6,36.0,EngrEv00
37,James Cook*,BUF,RB,,189,232.7,240.7,210.7,29.0,11,37.0,CookJa01
38,Bijan Robinson,ATL,RB,,188,246.3,255.3,217.3,29.0,12,38.0,RobiBi01
39,D.K. Metcalf*,SEA,WR,,159,225.4,228.4,192.4,28.0,15,39.0,MetcDK00
40,Jared Goff,DET,QB,2.0,289,289.1,308.1,301.1,25.0,7,40.0,GoffJa00
41,Taysom Hill,NOR,TE,,111,143.5,150.5,127.0,25.0,7,41.0,HillTa00
42,Amari Cooper*,CLE,WR,,155,227.0,231.0,191.0,24.0,16,42.0,CoopAm00
43,Saquon Barkley,NYG,RB,,182,223.2,231.2,202.7,23.0,13,43.0,BarkSa00
44,Calvin Ridley,JAX,WR,,154,229.9,232.9,191.9,23.0,17,44.0,RidlCa00
45,Jayden Reed,GNB,WR,,153,217.2,223.2,185.2,22.0,18,45.0,ReedJa03
46,Cole Kmet,CHI,TE,,108,181.1,184.1,144.6,22.0,8,46.0,KmetCo00
47,Jordan Addison,MIN,WR,,151,221.3,224.3,186.3,21.0,19,47.0,AddiJo00
48,Jake Ferguson*,DAL,TE,,106,177.1,180.1,141.6,21.0,9,48.0,FergJa00
49,DeAndre Hopkins,TEN,WR,,149,223.6,226.6,186.1,18.0,20,49.0,HopkDe00
50,Patrick Mahomes*,KAN,QB,,280,280.2,303.2,294.2,17.0,8,50.0,MahoPa00
51,Jakobi Meyers,LVR,WR,,148,218.6,221.6,183.1,17.0,21,51.0,MeyeJa01
52,James Conner,ARI,RB,,175,201.5,207.5,188.0,16.0,15,52.0,ConnJa00
53,Gus Edwards,BAL,RB,,175,187.0,195.0,181.0,16.0,14,53.0,EdwaGu00
54,DeVonta Smith,PHI,WR,,147,227.6,231.6,187.1,16.0,22,54.0,SmitDe07
55,George Pickens,PIT,WR,,146,208.8,211.8,177.3,15.0,23,55.0,PickGe00
56,Trey McBride,ARI,TE,,101,181.5,184.5,141.0,15.0,10,56.0,McBrTr01
57,Chris Olave,NOR,WR,,144,231.3,234.3,187.8,14.0,24,57.0,OlavCh00
58,C.J. Stroud*,HOU,QB,,275,276.0,291.0,280.5,12.0,9,58.0,StroCJ00
59,Kenneth Walker III,SEA,RB,,170,199.4,205.4,184.9,12.0,16,59.0,WalkKe00
60,Baker Mayfield*,TAM,QB,2.0,274,274.1,293.1,284.1,11.0,10,60.0,MayfBa00
61,Isiah Pacheco,KAN,RB,,170,213.9,220.9,191.9,11.0,17,61.0,PachIs00
62,Michael Pittman Jr.,IND,WR,,141,250.2,254.2,195.7,11.0,25,62.0,PittMi01
63,Tony Pollard,DAL,RB,,168,222.6,229.6,195.1,9.0,18,63.0,PollTo00
64,Jerome Ford,CLE,RB,,167,211.2,218.2,189.2,9.0,19,64.0,FordJe00
65,Najee Harris,PIT,RB,,167,195.5,202.5,181.0,8.0,20,65.0,HarrNa00
66,Tua Tagovailoa*,MIA,QB,,270,270.4,292.4,284.4,7.0,11,66.0,TagoTu00
67,Dalton Schultz,HOU,TE,,92,150.5,154.5,121.0,7.0,11,67.0,SchuDa00
68,Mark Andrews,BAL,TE,,90,135.4,138.4,112.9,6.0,12,68.0,AndrMa00
69,De'Von Achane,MIA,RB,,164,190.7,197.7,177.2,5.0,21,69.0,AchaDe00
70,Justin Jefferson,MIN,WR,,134,202.2,206.2,168.2,5.0,26,70.0,JeffJu00
71,Brian Robinson Jr.,WAS,RB,,162,198.1,206.1,180.1,4.0,22,71.0,RobiBr01
72,Rashee Rice,KAN,WR,,134,212.5,216.5,173.0,4.0,27,72.0,RiceRa01
73,D'Andre Swift*,PHI,RB,,160,199.3,206.3,179.8,2.0,23,73.0,SwifDA00
74,Courtland Sutton,DEN,WR,,131,190.2,196.2,160.7,2.0,28,74.0,SuttCo00
75,Terry McLaurin,WAS,WR,,130,209.2,212.2,169.7,1.0,29,75.0,McLaTe00
76,Trevor Lawrence,JAX,QB,1.0,263,262.5,289.5,276.5,,12,76.0,LawrTr00
77,Sam Howell,WAS,QB,1.0,257,257.5,286.5,278.0,,14,77.0,HoweSa00
78,Russell Wilson,DEN,QB,2.0,257,256.9,275.9,264.9,,13,78.0,WilsRu00
