Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Succ%.1,Lng.1,Y/A,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1,Saquon Barkley,27,PHI,RB,10,10,29,23,210,9.1,2,10,44.8,43.0,2.3,21.0,79.3,7.2,197,1137,8,46,54.3,65.0,5.8,113.7,19.7,220,6.1,1347,10,1,
2,Derrick Henry,30,BAL,RB,10,10,12,10,96,9.6,2,5,58.3,27.0,1.0,9.6,83.3,8.0,184,1120,12,49,54.9,87.0,6.1,112.0,18.4,194,6.3,1216,14,2,
3,Alvin Kamara,29,NOR,RB,10,10,69,51,421,8.3,1,13,34.8,57.0,5.1,42.1,73.9,6.1,167,715,6,42,53.3,24.0,4.3,71.5,16.7,218,5.2,1136,7,1,
4,Bijan Robinson,22,ATL,RB,10,10,46,41,331,8.1,1,15,52.2,29.0,4.1,33.1,89.1,7.2,155,748,6,37,59.4,37.0,4.8,74.8,15.5,196,5.5,1079,7,0,
5,Ja'Marr Chase,24,CIN,WR,10,10,87,66,981,14.9,10,44,67.8,70.0,6.6,98.1,75.9,11.3,1,11,0,1,100.0,11.0,11.0,1.1,0.1,67,14.8,992,10,0,
6,James Conner,29,ARI,RB,10,10,30,24,247,10.3,0,8,56.7,44.0,2.4,24.7,80.0,8.2,159,697,5,47,51.6,22.0,4.4,69.7,15.9,183,5.2,944,5,3,
7,Chuba Hubbard,25,CAR,RB,10,10,35,30,124,4.1,1,7,31.4,20.0,3.0,12.4,85.7,3.5,161,818,6,40,56.5,38.0,5.1,81.8,16.1,191,4.9,942,7,3,
8,Jahmyr Gibbs,22,DET,RB,9,1,28,22,202,9.2,1,10,42.9,33.0,2.4,22.4,78.6,7.2,122,727,7,31,59.8,70.0,6.0,80.8,13.6,144,6.5,929,8,0,
9,Breece Hall,23,NYJ,RB,10,10,54,39,358,9.2,1,11,40.7,57.0,3.9,35.8,72.2,6.6,136,554,3,24,44.1,42.0,4.1,55.4,13.6,175,5.2,912,4,4,
10,Aaron Jones,30,MIN,RB,9,9,32,28,258,9.2,1,11,56.3,25.0,3.1,28.7,87.5,8.1,142,653,2,28,52.8,39.0,4.6,72.6,15.8,170,5.4,911,3,1,
11,Josh Jacobs,26,GNB,RB,9,9,24,19,128,6.7,1,7,41.7,21.0,2.1,14.2,79.2,5.3,158,762,3,34,52.5,38.0,4.8,84.7,17.6,177,5.0,890,4,2,
12,Justin Jefferson,25,MIN,WR,9,9,78,53,831,15.7,5,37,55.1,97.0,5.9,92.3,67.9,10.7,1,3,0,0,0.0,3.0,3.0,0.3,0.1,54,15.4,834,5,1,
13,Tony Pollard,27,TEN,RB,9,9,36,28,154,5.5,0,6,30.6,22.0,3.1,17.1,77.8,4.3,151,666,3,31,47.7,41.0,4.4,74.0,16.8,179,4.6,820,3,0,
14,Joe Mixon,28,HOU,RB,7,7,24,16,159,9.9,1,7,54.2,36.0,2.3,22.7,66.7,6.6,151,655,7,32,42.4,59.0,4.3,93.6,21.6,167,4.9,814,8,0,
15,Kyren Williams,24,LAR,RB,9,9,31,25,136,5.4,2,6,41.9,26.0,2.8,15.1,80.6,4.4,176,664,8,47,50.0,30.0,3.8,73.8,19.6,201,4.0,800,10,3,
16,Najee Harris,26,PIT,RB,9,9,24,17,152,8.9,0,6,37.5,32.0,1.9,16.9,70.8,6.3,157,645,3,30,43.9,36.0,4.1,71.7,17.4,174,4.6,797,3,0,
17,D'Andre Swift,25,CHI,RB,9,9,30,26,230,8.8,0,7,56.7,42.0,2.9,25.6,86.7,7.7,141,564,4,24,45.4,56.0,4.0,62.7,15.7,167,4.8,794,4,2,
18,J.K. Dobbins,26,LAC,RB,9,8,28,24,112,4.7,0,6,21.4,15.0,2.7,12.4,85.7,4.0,141,670,6,34,40.4,61.0,4.8,74.4,15.7,165,4.7,782,6,0,
19,Jordan Mason,25,SFO,RB,9,6,12,10,86,8.6,0,5,75.0,24.0,1.1,9.6,83.3,7.2,135,690,3,30,46.7,38.0,5.1,76.7,15.0,145,5.4,776,3,2,
