Rk_x,Player,Tm,FantPos,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,-9999,Rk_y,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Succ%.1,Lng.1,Y/A,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
2,Josh Jacobs,LVR,RB,,275,328.3,335.3,301.8,127.0,1,2.0,JacoJo01,1.0,24.0,LVR,RB,17.0,17.0,64.0,53.0,400.0,7.5,0.0,16.0,50.0,43.0,3.1,23.5,82.8,6.3,340.0,1653.0,12.0,93.0,57.4,86.0,4.9,97.2,20.0,393.0,5.2,2053.0,12.0,3.0,PBAP-1AP OPoY-5
4,Derrick Henry,TEN,RB,,270,302.8,311.8,286.3,122.0,3,4.0,HenrDe00,2.0,28.0,TEN,RB,16.0,16.0,41.0,33.0,398.0,12.1,0.0,11.0,61.0,69.0,2.1,24.9,80.5,9.7,349.0,1538.0,13.0,65.0,46.7,56.0,4.4,96.1,21.8,382.0,5.1,1936.0,13.0,6.0,PBAP MVP-9AP OPoY-12AP CPoY-9
5,Justin Jefferson,MIN,WR,,241,368.7,371.7,304.7,119.0,1,5.0,JeffJu00,4.0,23.0,MIN,WR,17.0,17.0,184.0,128.0,1809.0,14.1,8.0,80.0,57.6,64.0,7.5,106.4,69.6,9.8,4.0,24.0,1.0,2.0,75.0,10.0,6.0,1.4,0.2,132.0,13.9,1833.0,9.0,0.0,PBAP-1AP MVP-5AP OPoY-1
6,Austin Ekeler,LAC,RB,,266,372.7,381.7,319.2,118.0,4,6.0,EkelAu00,8.0,27.0,LAC,RB,17.0,17.0,127.0,107.0,722.0,6.7,5.0,36.0,48.0,23.0,6.3,42.5,84.3,5.7,204.0,915.0,13.0,46.0,48.0,72.0,4.5,53.8,12.0,311.0,5.3,1637.0,18.0,5.0,AP OPoY-9
8,Davante Adams,LVR,WR,,236,335.5,338.5,285.5,114.0,2,8.0,AdamDa01,10.0,30.0,LVR,WR,17.0,17.0,180.0,100.0,1516.0,15.2,14.0,65.0,46.1,60.0,5.9,89.2,55.6,8.4,3.0,-1.0,0.0,0.0,0.0,4.0,-0.3,-0.1,0.2,103.0,14.7,1515.0,14.0,1.0,PBAP-1
9,Travis Kelce,KAN,TE,,206,316.3,320.3,261.3,114.0,1,9.0,KelcTr00,21.0,33.0,KAN,TE,17.0,17.0,152.0,110.0,1338.0,12.2,12.0,78.0,63.2,52.0,6.5,78.7,72.4,8.8,2.0,5.0,0.0,1.0,100.0,4.0,2.5,0.3,0.1,112.0,12.0,1343.0,12.0,1.0,PBAP-1AP OPoY-6
10,Nick Chubb,CLE,RB,,254,281.4,288.4,267.9,107.0,5,10.0,ChubNi00,5.0,27.0,CLE,RB,17.0,17.0,37.0,27.0,239.0,8.9,1.0,12.0,51.4,26.0,1.6,14.1,73.0,6.5,302.0,1525.0,12.0,69.0,50.0,41.0,5.0,89.7,17.8,329.0,5.4,1764.0,13.0,1.0,PBAP-2
11,Tyreek Hill,MIA,WR,,228,347.2,350.2,287.7,107.0,3,11.0,HillTy00,6.0,28.0,MIA,WR,17.0,17.0,170.0,119.0,1710.0,14.4,7.0,77.0,56.5,64.0,7.0,100.6,70.0,10.1,7.0,32.0,1.0,3.0,57.1,10.0,4.6,1.9,0.4,126.0,13.8,1742.0,8.0,1.0,PBAP-1AP MVP-9AP OPoY-4
13,A.J. Brown,PHI,WR,,212,299.6,304.6,255.6,91.0,4,13.0,BrowAJ00,11.0,25.0,PHI,WR,17.0,16.0,145.0,88.0,1496.0,17.0,11.0,59.0,51.7,78.0,5.2,88.0,60.7,10.3,0.0,0.0,0.0,0.0,,,,0.0,0.0,88.0,17.0,1496.0,11.0,2.0,PBAP-2AP MVP-9AP OPoY-11
14,Stefon Diggs,BUF,WR,,209,316.6,319.6,262.6,89.0,5,14.0,DiggSt00,15.0,29.0,BUF,WR,16.0,16.0,154.0,108.0,1429.0,13.2,11.0,74.0,64.3,53.0,6.8,89.3,70.1,9.3,1.0,-3.0,0.0,0.0,0.0,-3.0,-3.0,-0.2,0.1,109.0,13.1,1426.0,11.0,1.0,PBAP-2
